name,province_id
PILAR,35
PONTEVEDRA,35
PRESIDENT ROXAS,35
ROXAS CITY (Capital),35
SAPI-AN,35
SIGMA,35
TAPAZ,35
AJUY,36
ALIMODIAN,36
ANILAO,36
BADIANGAN,36
BALASAN,36
BANATE,36
BAROTAC NUEVO,36
BAROTAC VIEJO,36
BATAD,36
BINGAWAN,36
CABATUAN,36
CALINOG,36
CARLES,36
CONCEPCION,36
DINGLE,36
DUENAS,36
DUMANGAS,36
ESTANCIA,36
GUIMBAL,36
IGBARAS,36
ILOILO CITY (Capital),36
JANIUAY,36
LAMBUNAO,36
LEGANES,36
LEMERY,36
LEON,36
MAASIN,36
MIAGAO,36
MINA,36
NEW LUCENA,36
OTON,36
CITY OF PASSI,36
PAVIA,36
POTOTAN,36
SAN DIONISIO,36
SAN ENRIQUE,36
SAN JOAQUIN,36
SAN MIGUEL,36
SAN RAFAEL,36
SANTA BARBARA,36
SARA,36
TIGBAUAN,36
TUBUNGAN,36
ZARRAGA,36
BUENAVISTA,37
JORDAN (Capital),37
NUEVA VALENCIA,37
SAN LORENZO,37
SIBUNAG,37
ALBURQUERQUE,38
ALICIA,38
ANDA,38
ANTEQUERA,38
BACLAYON,38
BALILIHAN,38
BATUAN,38
BILAR,38
BUENAVISTA,38
CALAPE,38
CANDIJAY,38
CARMEN,38
CATIGBIAN,38
CLARIN,38
CORELLA,38
CORTES,38
DAGOHOY,38
DANAO,38
DAUIS,38
DIMIAO,38
DUERO,38
GARCIA HERNANDEZ,38
GUINDULMAN,38
INABANGA,38
JAGNA,38
GETAFE,38
LILA,38
LOAY,38
LOBOC,38
LOON,38
MABINI,38
MARIBOJOC,38
PANGLAO,38
PILAR,38
PRES. CARLOS P. GARCIA (PITOGO),38
SAGBAYAN (BORJA),38
SAN ISIDRO,38
SAN MIGUEL,38
SEVILLA,38
SIERRA BULLONES,38
SIKATUNA,38
TAGBILARAN CITY (Capital),38
TALIBON,38
TRINIDAD,38
TUBIGON,38
UBAY,38
VALENCIA,38
BIEN UNIDO,38
ALCANTARA,39
ALCOY,39
ALEGRIA,39
ALOGUINSAN,39
ARGAO,39
ASTURIAS,39
BADIAN,39
BALAMBAN,39
BANTAYAN,39
BARILI,39
CITY OF BOGO,39
BOLJOON,39
BORBON,39
CITY OF CARCAR,39
CARMEN,39
CATMON,39
CEBU CITY (Capital),39
COMPOSTELA,39
CONSOLACION,39
CORDOVA,39
DAANBANTAYAN,39
DALAGUETE,39
DANAO CITY,39
DUMANJUG,39
GINATILAN,39
LAPU-LAPU CITY (OPON),39
LILOAN,39
MADRIDEJOS,39
MALABUYOC,39
MANDAUE CITY,39
MEDELLIN,39
MINGLANILLA,39
MOALBOAL,39
CITY OF NAGA,39
OSLOB,39
PILAR,39
PINAMUNGAHAN,39
PORO,39
RONDA,39
SAMBOAN,39
SAN FERNANDO,39
SAN FRANCISCO,39
SAN REMIGIO,39
SANTA FE,39
SANTANDER,39
SIBONGA,39
SOGOD,39
TABOGON,39
TABUELAN,39
CITY OF TALISAY,39
TOLEDO CITY,39
TUBURAN,39
TUDELA,39
ENRIQUE VILLANUEVA,40
LARENA,40
LAZI,40
MARIA  ,40
SAN JUAN,40
SIQUIJOR (Capital),40
ARTECHE,41
BALANGIGA,41
BALANGKAYAN,41
CITY OF BORONGAN (Capital),41
CAN-AVID,41
DOLORES,41
GENERAL MACARTHUR,41
GIPORLOS,41
GUIUAN,41
HERNANI,41
JIPAPAD,41
LAWAAN,41
LLORENTE,41
MASLOG,41
MAYDOLONG,41
MERCEDES,41
ORAS,41
QUINAPONDAN,41
SALCEDO,41
SAN JULIAN,41
SAN POLICARPO,41
SULAT,41
TAFT,41
ABUYOG,42
ALANGALANG,42
ALBUERA,42
BABATNGON,42
BARUGO,42
BATO,42
CITY OF BAYBAY,42
BURAUEN,42
CALUBIAN,42
CAPOOCAN,42
CARIGARA,42
DAGAMI,42
DULAG,42
HILONGOS,42
HINDANG,42
INOPACAN,42
ISABEL,42
JARO,42
JAVIER (BUGHO),42
JULITA,42
KANANGA,42
LA PAZ,42
LEYTE,42
MACARTHUR,42
MAHAPLAG,42
